CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.3.1-31 Alternate II,C,,X,,I,A,,A,,A,,A,,,A,A,,A,A,A,,
3.3.1-31 Alternate III,C,X,,,I,A,,A,,A,,A,,,A,A,,A,A,A,,
3.3.1-32,C,,,,I,A,,,,A,,,,,,,,,,,,
3.3.1-33,C,,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.3.1-34,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.3.1-35,P,,,,K,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.3.1-36,C,,,,I,O,,,,,,,,O,,O,,,,,O,O
3.3.1-37,C,,X,,I,A,,A,,A,,A,,,,,A,A,A,A,,
3.3.1-38,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.3.1-39,C,X,,,I,,,,,,,,,R,,,,,,,,
3.3.1-40,C,,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.3.1-41,P,,,,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
3.3.2-1,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.3.2-2,C,X,,,I,,A,,A,,A,,A,,,,,,,,,
3.4.1-1,C,,X,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.4.1-2,C,,X,,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3.4.1-3,,,,,,,,,,,,,,,,,,,,,,
3.4.1-4,C,,X,X,I,O,O,O,O,O,O,A,A,O,O,O,A,O,O,O,O,O
3.4.1-5,C,,X,,I,O,O,O,O,O,O,R,A,O,O,O,A,O,O,O,O,O
3.4.1-6,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.4.1-7,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.4.1-8,C,X,,,I,,A,A,,,A,A,,,,,,A,,,,
3.4.1-9,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.4.1-10,C,X,,,I,A,,A,,A,,A,,,A,A,A,A,,A,,
3.4.1-11,C,X,,,I,,A,,A,,A,,,,,A,,,A,A,,
3.4.1-11 Alternate I,C,X,,,I,,A,,A,,A,,,,,A,,,A,A,,
3.4.1-11 Alternate II,C,X,,,I,,A,,A,,A,,,,,A,,,A,A,,
3.4.1-12,C,X,,,I,,R,,R,,R,,R,R,R,R,R,R,R,R,A,A
3.4.1-13,C,X,,,I,,,,,O,O,,,O,,O,O,O,,,O,
3.4.1-14,C,X,,,I,,,,,,,,,,R,,,,,,,
3.4.2-1,C,X,,,I,,A,,A,,A,,A,A,A,A,A,A,A,A,A,
3.4.2-2,C,,X,,I,,A,,A,,A,,A,,A,A,A,A,A,A,A,
3.4.2-3,C,,X,,I,,A,,A,,A,,A,,A,A,A,A,A,A,A,
3.4.2-4,C,,X,,I,A,,A,,A,,A,,,A,A,A,A,A,A,A,
3.4.2-5,C,X,,,I,A,,A,,A,,A,,A,A,A,A,A,A,A,A,
3.4.2-6,C,X,,,I,A,,A,,A,,A,,A,A,A,A,A,A,A,A,
3.4.2-7,C,X,,,I,A,,A,,A,,A,,A,A,A,A,A,A,A,A,
3.4.2-8,C,X,,,I,A,,A,,A,,A,,A,A,A,A,A,A,A,A,
3.4.2-9,C,X,,,I,,,,,,,A,A,,,,,,,,,
3.4.2-10,C,X,,,I,,,,,,,,,,A,,,,,A,A,
3.5-1,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.5-1 Alternate I,C,X,,,I,,,A,A,,,,,,,,,,,,,
3.5-1 Alternate II,C,X,,,I,,,,,,,,,,,A,,,,,,
3.5-2,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.5-3,C,X,,,I,A,,,,A,,,,A,,A,,,,A,,
3.5-3 Alternate I,C,,X,,I,A,A,,,A,A,,,,,,,,,A,,
3.5-3 Alternate II,C,,X,,I,A,A,,,A,A,,,,,A,,,,A,,
3.5-3 Alternate III,C,X,,,I,,,,,,,,,,,A,,,,,,
3.5-4,C,X,,,I,,,,,,,A,A,,,,A,,,,,
3.5-4 Alternate I,C,,X,,I,,,,,,,O,O,,,,O,,,,,
3.5-5,C,,X,,I,A,A,A,A,A,A,A,A,,,,A,,A,A,,
3.5-6,P,,,,K,A,A,A,A,A,A,A,A,,,A,A,,A,A,,
3.5-6 Alternate I,P,,,,K,,,,,,,,,,,A,,,A,,,
3.5-7,C,,X,,K,A,A,A,A,A,A,A,A,,,A,A,,A,A,,
3.5-8,C,,,,K,A,,A,,A,,A,,,,A,A,,A,A,,
3.5-9,C,,,,I,A,A,A,A,A,A,A,A,,,A,A,,A,A,,
3.5-10,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-10 Alternate I,C,,X,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-10 Alternate II,C,,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-10 Alternate III,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-10 Alternate IV,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-10 Alternate V,C,X,,,I,,,A,A,,,A,A,,,,,A,,,,
3.5-11,,,,,,,,,,,,,,,,,,,,,,
